id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,apr,int_rate,installment,grade,sub_grade,emp_name,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,addr_city,addr_state,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_loan_delinq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec_gt_100,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,total_il_high_credit_limit,mths_since_oldest_il_open,num_rev_accts,mths_since_recent_bc_dlq,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt
"169525","142952","9000.0","9000.0","350.51"," 36 months","10.65%","  9.96%","290.24","B","B5","The New York Mets","8 years","RENT","38000","FALSE","2007-11-28","2007-12-12","2007-11-28","2007-12-13","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=169525","A loan to pay for my girlfriends wedding ring, I currently work two jobs, and am graduating at the end of year from a five year bachelors of architecture program, and have a job already waiting to go full time upon graduation. ","wedding","Wedding Ring","New Hyde Park","NY","0","","","","","3.38","0","0","2003-01-11 06:59","695","699","2","0","0","","","","","","9","","0","","3305.0","55.1%","","10","f","0.00","0.00","10478.569999999998","407.93","9000.00","1448.57","29.99586549063","2011-01-18","1.46","null","2011-01-07","564","560","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"1695967","1988809","24000.0","24000.0","23925.0"," 60 months","18.17%"," 15.80%","581.09","C","C3","Northrop Grumman Technical Services","7 years","MORTGAGE","89900","TRUE","2013-01-11","2013-01-25","2013-01-11","2013-01-16","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1695967","  Borrower added on 01/11/13 > I've simply decided that I want to live debt free.  In order to do that responsibly I have to make lasting effort to pay everything off, budget properly, and plan investments.  I like the finality of loans and I've found that I pay them off faster than credit cards.<br>","debt_consolidation","Debt Consolidation","Marietta","GA","0","6","34249","50","44","24.55","0","0","1995-07-13 08:08","665","669","0","","","10","","","4","4","25","0","0","154194","60779.0","59.7%","61200","43","f","22641.64","22570.88","2900.2","2891.15","1358.36","1541.84","0.0","2013-06-20","581.09","2013-07-16","2013-06-25","754","750","86168","159","24","","0","0","0","0","0","","25","4","4","338306","303146","13180","16","6","10","100","0","0","0","14","159","9","213","4","101800","9","17","0"
"2301501","2734085","8750.0","8750.0","8675.0"," 36 months","19.49%"," 15.80%","306.77","C","C3","MILITARY","9 years","RENT","50000","FALSE","2012-12-17","2012-12-31","2012-12-17","2012-12-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2301501","  Borrower added on 12/17/12 > I am looking to get out of debt and will be using these funds to get me there. I am excited about using this site and look forward to becoming an investor. Thank you ahead of time for your consideration.<br>","debt_consolidation","DEC 2015","belle chasse","LA","0","4","14361","50","61.7","21.66","0","0","1998-04-22 06:53","665","669","1","","","2","","","13","0","12","0","0","46159","27323.0","54.9%","37500","16","f","7567.16","7502.30","1832.82","1817.10","1182.84","649.98","0.0","2013-06-28","306.77","2013-07-24","2013-06-25","684","680","18800","1","14","","0","0","0","0","0","","12","2","1","68600","46159","4196","10","4","7","100","0","0","0","2","60","6","178","2","49800","6","11","0"
"2368587","2831081","20000.0","20000.0","19975.0"," 60 months","23.50%"," 21.00%","541.07","E","E2","Dept. of the Navy","7 years","MORTGAGE","128000","FALSE","2013-03-13","2013-03-27","2013-03-13","2013-03-18","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2368587","  Borrower added on 03/13/13 > After starting on one bathroom, I found the leak had caused damage to the other bathroom also.  I will need to repair and replace a lot of flooring, framing and drywall.  This is more than I had planned on.  I will have to bring in some professionals.  Thanks for your help.<br>","home_improvement","Bathroom Fix","POQUOSON","VA","0","9","1925","77.8","87.2","22.69","0","0","1982-12-27 08:59","675","679","2","32","","0","37","34","2","5","21","0","0","89985","53553.0","88.4%","15000","37","f","19418.45","19394.17","1618.35","1616.34","581.55","1036.80","0.0","2013-06-26","541.07","2013-07-18","2013-06-25","694","690","47314","95","19","","0","1","0","0","0","32","21","5","2","455339","425368","21268","10","9","9","86","0","0","0","13","132","15","367","2","60600","15","16","0"
"2372220","2835005","10000.0","10000.0","10000.0"," 36 months","22.24%"," 18.49%","363.99","D","D2","Bashaw land & seed","2 years","MORTGAGE","61500","TRUE","2012-12-18","2013-01-01","2012-12-18","2012-12-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2372220","  Borrower added on 12/18/12 > Farm expensives<br>","small_business","operating farm loan","SHERIDAN","OR","0","3","761","60","90.8","22.11","0","0","2000-04-19 06:42","665","669","1","43","","6","","43","6","4","12","0","0","36029","20710.0","82.8%","8300","30","f","8698.34","8698.34","2171.76","2171.76","1301.66","870.10","0.0","2013-06-28","363.99","2013-07-24","2013-06-25","669","665","29562","","13","","0","0","0","0","0","","12","2","3","220875","200766","16731","9","5","5","96","0","0","0","13","154","8","112","6","25000","8","8","0"
"2382506","2845244","29700.0","29700.0","29625.0"," 60 months","24.00%"," 21.49%","811.7","E","E3","","n/a","MORTGAGE","66000","TRUE","2012-12-13","2012-12-27","2012-12-13","2012-12-21","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2382506","  Borrower added on 12/15/12 > This loan will be to combine my debts into one loan, making my payments lower.<br>","debt_consolidation","Combining Debt","FRANKFORT","KY","0","6","2241","0","22.7","20.93","1","0","1980-08-02 01:25","695","699","2","14","","1","14","29","1","6","14","0","0","44635","2964.0","26.7%","2900","63","f","27947.02","27876.43","4862.04","4849.80","1752.98","3109.06","0.0","2013-06-27","811.7","2013-07-21","2013-06-25","719","715","53742","114","25","29","0","7","0","0","0","32","14","3","1","204842","177272","14773","16","1","3","84","0","0","0","31","114","4","394","1","11100","4","8","0"
"2382639","2845382","35000.0","35000.0","34925.0"," 60 months","26.20%"," 23.63%","999.38","F","F3","","10+ years","OWN","150000","TRUE","2012-12-12","2012-12-26","2012-12-12","2013-01-10","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2382639","","other","consolidate","BRIDGEWATER","NJ","0","9","22477","0","36.1","13.87","0","0","1983-09-16 08:49","715","719","1","34","","1","35","34","6","3","19","0","0","63646","20619.0","45.9%","35200","36","f","33390.80","33319.26","4984.65","4973.95","1609.20","3375.45","0.0","2013-06-14","999.38","2013-08-10","2013-06-25","724","720","43374","","23","34","0","0","0","0","0","34","19","3","6","101251","63646","3536","18","9","12","72","0","0","0","9","137","11","356","6","44900","11","17","0"
"2474859","2967040","22000.0","22000.0","21925.0"," 60 months","24.00%"," 21.49%","601.26","E","E3","Worby Groner Edelman LLP","1 year","RENT","50000","TRUE","2012-12-14","2012-12-28","2012-12-14","2012-12-27","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2474859","  Borrower added on 12/14/12 > I would like to be able to get out from under a heavy credit card debt burden, and end the disruption of high aggregate monthly payments. This loan will exactly pay off all of my credit cards, and not a dollar more. Please help me get on the path to freedom from debt!<br>","debt_consolidation","My Freedom Loan","BROOKLYN","NY","0","5","28684","75","97.2","21.22","0","0","2000-09-18 10:20","675","679","2","","","0","","","6","0","19","0","0","230156","22299.0","95.1%","48200","40","f","20703.53","20632.94","3595.86","3583.62","1296.47","2299.39","0.0","2013-07-03","601.26","2013-07-27","2013-06-25","669","665","194381","21","12","","0","0","0","0","0","","19","3","5","245781","230156","14385","10","4","4","100","0","0","0","26","143","5","149","6","51400","5","6","0"
"2477662","2970068","16000.0","16000.0","15950.0"," 60 months","19.68%"," 17.27%","399.97","C","C5","Le Duyen 2","1 year","MORTGAGE","80000","FALSE","2012-12-16","2012-12-30","2012-12-16","2012-12-31","Late (31-120 days)","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2477662","","house","home improvements","hayward","CA","0","9","1647","60","85.3","18.79","0","0","1999-01-29 07:03","665","669","1","38","","4","","38","11","1","14","0","0","49706","10653.0","71.9%","11213","23","w","15307.26","15259.41","1597.88","1592.92","692.74","905.14","0.0","2013-05-13","399.97","2013-07-28","2013-06-25","534","530","47348","11","19","38","0","0","0","0","0","","14","6","4","318161","293116","24426","9","5","6","87","0","0","0","2","18","8","169","4","14813","8","11","0"
"2477882","2970305","19200.0","19200.0","19200.0"," 60 months","22.97%"," 20.49%","513.94","E","E1","Act-I Staffing","< 1 year","RENT","74800","TRUE","2012-12-17","2012-12-31","2012-12-17","2012-12-31","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2477882","","debt_consolidation","2012 End Debt","COLUMBUS","OH","0","7","238","100","95.3","19.19","1","0","2001-01-19 05:31","665","669","1","8","","1","8","","20","1","17","0","0","30818","14382.0","71.8%","5700","29","w","18040.89","18040.89","3067.08","3067.08","1159.11","1907.97","0.0","2013-07-05","513.94","2013-07-28","2013-06-25","679","675","26896","","24","","0","0","0","0","0","8","17","0","14","546386","241665","18590","10","3","5","96","1","0","0","3","51","11","145","14","19500","11","15","0"
